Class,IoU,Dice,GT Pixels,Pred Pixels
shelves,0.07068615618368927,0.13203898411396328,2309261,606696
bedclothes,0.14183780367419244,0.24843774346547012,6665488,3083071
wood,0.1604823985652612,0.2765787723513435,3303680,16781578
sidewalk,0.16499644551001955,0.28325656468039495,2502436,13763969
computer,0.1830292906722875,0.30942478282727265,478454,446501
bed,0.2262877852910171,0.36906146828709624,2736682,6121463
truck,0.2876293957303039,0.4467580449530966,527310,1512416
flower,0.2981523492991648,0.4593487805343166,764474,1280643
mouse,0.3005470459518597,0.46218558088668266,36612,117919
cloth,0.30741687427770215,0.47026603423263635,5870287,7583132
building,0.35764320675309036,0.5268589051587743,46051976,18338493
ground,0.3641941869433988,0.5339330579606251,49851954,26245638
platform,0.3767541913049196,0.5473078544948147,1906001,3621802
door,0.3832542765500002,0.5541342369905867,3263274,4647690
window,0.41210343663074517,0.5836731586944041,6699421,9144011
bench,0.42955288921678936,0.6009611710863373,646197,1055061
bag,0.44323292899005046,0.6142223061667769,822473,1411806
fence,0.46796074067387394,0.6375657436983696,8349895,10611428
cabinet,0.4727122052363783,0.641961414532455,6362769,8561399
light,0.4807938980119979,0.6493731486299011,868160,1632353
track,0.50110028776757,0.6676439833514445,2044541,3613127
floor,0.50852876487173,0.6742049296156049,19764067,18456763
sign,0.5120290617557878,0.6772741010165678,1320142,2091239
road,0.5166008419163406,0.6812614468334015,20673496,28959226
ceiling,0.5549994822926101,0.7138259383525296,5218465,8192726
rock,0.6078552832733622,0.7561069576309831,3809901,3766744
pottedplant,0.6168988109318488,0.7630642149786956,5060490,4003143
chair,0.6423035994311351,0.7821983702083071,13272755,12287444
mountain,0.6437414100401642,0.7832636035183108,5115044,5200247
wall,0.6444995207173951,0.7838245163321655,51734981,63212605
curtain,0.6462216509044165,0.7850967705951252,3390892,4049643
book,0.6881271404195123,0.8152551119443616,1079597,1032613
table,0.7246826522030578,0.840366372651073,12526344,10917764
sofa,0.7435247714291305,0.8528984315143157,17567251,16910845
snow,0.7505872638058804,0.8575262477050807,4834270,5048975
cup,0.7654711899780228,0.8671579511728557,771587,903342
plate,0.7740930305157547,0.872663402877711,1041186,1129706
tvmonitor,0.7745674731105772,0.8729648039280974,6190787,5266770
food,0.7948353812769681,0.8856916791014763,1161112,1275596
tree,0.8001570138630208,0.8889858025727828,41435633,37321735
grass,0.827635265736006,0.9056897524930495,52276965,51989117
boat,0.8550504959613403,0.9218622326700909,6168849,5685137
car,0.8596933765828602,0.92455389410756,20029406,18484656
bicycle,0.8928579284380452,0.9433966649307026,6710059,6370089
aeroplane,0.903671455141255,0.9493985453222036,8574798,8417006
bus,0.9087230116383426,0.9521790286987161,11603610,11353201
motorbike,0.919535297047477,0.9580811548105996,9597137,9510689
train,0.9215209560010493,0.9591578516206888,11035490,10741670
bottle,0.9238728736557553,0.9604302719859097,5486827,5400612
person,0.933278671107352,0.9654879920366415,72455337,72406156
water,0.9367054580968928,0.9673184470883334,24808942,25516084
keyboard,0.9407967616619622,0.9694953951348619,515354,507803
horse,0.947871202746937,0.9732380677020382,8169775,8110178
cow,0.9488745033032465,0.973766655261743,5063539,5165961
sheep,0.9613093381682498,0.9802730446040271,5570854,5623068
dog,0.9621365510654197,0.9807029490816932,26728908,27048273
bird,0.9637494684737385,0.9815401444490595,6629701,6744564
sky,0.9698978134020609,0.9847189095834611,74271746,74436490
cat,0.9835186443225965,0.991690849125831,28548093,28556659
